geocodigo_1,geocodigo_2,distancia,AER,FER,HID,ROD,FRO
1501402,2800308,14.850853262790025,True,False,False,False,False
1501402,3170206,17.464124753169962,True,False,False,False,False
1501402,3205309,20.562041416357626,True,False,False,False,False
1501402,3509502,21.61388410213981,True,False,False,False,False
1501402,3543402,19.733866020352668,True,False,False,False,False
4108304,1501402,24.81551458146513,True,False,False,False,False
1501402,4211306,25.43519400016856,True,False,False,False,False
1501402,5208707,15.26051169552348,True,False,False,False,False
1502707,1506708,1.5127329975928359,True,False,False,False,False
1503606,1500503,4.371834760573419,True,False,False,False,False
1505304,1503606,2.5032123952287857,True,False,False,False,False
1508100,1503606,6.342354904793621,True,False,False,False,False
1702109,1503606,8.31402812123845,True,False,False,False,False
1504208,1500602,3.7756715137833345,True,False,False,False,False
1504208,1502707,2.93433968739619,True,False,False,False,False
1504208,1505437,2.4324964822951762,True,False,False,False,False
1504208,1505536,1.085328774335874,True,False,False,False,True
1504208,1506138,2.8471289214387703,True,False,False,False,False
1504208,1506708,4.18657752755083,True,False,False,False,False
1504208,1507300,3.1658933570044,True,False,False,True,True
1504208,1702109,2.054516381624708,True,False,False,False,False
1504208,3304557,18.53575463136535,True,False,False,False,False
1505304,1500503,3.289164763530547,True,False,False,False,False
1507300,1505437,0.9063998137905797,True,False,False,True,True
1505536,1503606,6.357966465713474,True,False,False,False,False
1505536,1505437,1.362181699994962,True,False,False,True,True
1505536,1507300,2.161005708710074,True,False,False,True,True
1505536,1508100,2.3156515188513347,True,False,False,False,False
1505536,1702109,2.0250126361003207,True,False,False,False,False
1505536,2800308,13.718245285056888,True,False,False,False,False
1506138,1502707,0.8031802518454346,True,False,False,True,True
1506138,1506708,1.3446997761780835,True,False,False,False,False
1506138,1709500,3.8290267483520584,True,False,False,False,False
5103353,1506138,3.0417619298115355,True,False,False,False,False
1506138,5213087,5.791274864936404,True,False,False,False,False
5107859,1506708,2.314757349042904,True,False,False,False,False
1303403,1506807,2.0132121646043584,True,False,False,False,False
1500503,1506807,2.3376355761985876,True,False,False,False,False
1500602,1506807,2.634086533040687,True,False,False,False,False
1503606,1506807,2.211831310941991,True,False,False,False,False
1505304,1506807,1.3207210136860896,True,False,False,False,False
1505536,1506807,6.045319796028119,True,False,False,False,False
1508100,1506807,5.2338312640504325,True,False,False,False,False
1702109,1506807,8.068047641756344,True,False,False,False,False
1709500,1507300,5.865148520789661,True,False,False,False,False
1504208,1508100,1.674827480528288,True,False,False,False,False
5300108,1508100,12.148882122729926,True,False,False,False,False
1500503,1600303,2.1778599411788715,True,False,False,False,False
1506807,1600303,4.427169279692876,True,False,False,False,False
5208707,1600303,16.833527875250912,True,False,False,False,False
3549805,1600709,22.382462383427683,True,False,False,False,False
1508100,1702109,3.725291130723239,True,False,False,False,False
3543402,1702109,13.988344282247743,True,False,False,False,False
5103353,1709500,2.7240755773414045,True,False,False,False,False
5107859,1709500,1.6196466186152205,True,False,False,False,False
1709500,5213087,1.9863552535073417,True,False,False,False,False
1721000,1500602,7.990755904740852,True,False,False,False,False
1721000,1504208,4.914213572991303,True,False,False,False,False
1721000,1702109,3.000715905643206,True,False,False,False,False
1504208,2111300,5.626526598032823,True,False,False,False,False
1505536,2111300,6.690106003244988,True,False,False,False,False
2111300,1506807,10.520790284893334,True,False,False,False,False
2111300,1600303,7.325138695187088,True,False,False,False,False
2111300,2105302,4.4083108011544265,True,False,False,False,False
2211001,2111300,2.9198801294660237,True,False,False,False,False
2800308,2111300,11.016238950065613,True,False,False,False,False
2211001,2105302,4.689176812921586,True,False,False,False,False
3106200,2211001,14.839561419088433,True,False,False,False,False
2211001,4113700,20.043632342813613,True,False,False,False,False
2304400,1100205,25.804407606868736,True,False,False,False,False
2304400,1200203,34.37024176595958,True,False,False,False,False
2304400,1200401,29.932801661411776,True,False,False,False,False
2304400,1302603,21.509237696809116,True,False,False,False,False
2304400,1400100,23.094401636469865,True,False,False,False,False
2304400,1501402,10.233358677382839,True,False,False,False,False
2304400,1506807,16.25641054794522,True,False,False,False,False
2304400,2111300,5.807074467261304,True,False,False,False,False
2304400,2211001,4.486733716112237,True,False,False,False,False
2304400,2307304,3.5651282948621112,True,False,False,False,False
2304400,2408102,3.9195532671880504,True,False,False,False,False
2304400,2507507,5.00212372950023,True,False,False,False,False
2304400,2704302,6.550980295631856,True,False,False,False,False
2304400,2800308,7.3488579200354085,True,False,False,False,False
2304400,3205309,16.688461139035685,True,False,False,False,False
2304400,3509502,21.130388569744564,True,False,False,False,False
2304400,3543402,19.770916642652512,True,False,False,False,False
2304400,3549805,20.251341241058636,True,False,False,False,False
2304400,4113700,23.31161627851328,True,False,False,False,False
2304400,4205407,25.892105466525493,True,False,False,False,False
2304400,5103403,21.21037152767754,True,False,False,False,False
2304400,5208707,16.842092719090463,True,False,False,False,False
2307304,2611101,2.495164456204804,True,False,False,False,False
2408003,2507507,3.1460125889509323,True,False,False,False,False
2111300,2408102,9.572054436387017,True,False,False,False,False
2408003,2408102,2.213357367998319,True,False,False,False,False
2507507,2408102,1.3440799781680597,True,False,False,False,False
2605459,2408102,3.420348413154073,True,False,False,False,False
2704302,2408102,3.838215498655631,True,False,False,False,False
2800308,2408102,5.413463721824108,True,False,False,False,False
3170206,2408102,18.48325667141814,True,False,False,False,False
3205309,2408102,15.349443677586356,True,False,False,False,False
3543402,2408102,19.846347067323467,True,False,False,False,False
3549805,2408102,20.61503779118262,True,False,False,False,False
4113700,2408102,23.656135884690446,True,False,False,False,False
2408102,4205407,25.51668137746172,True,False,False,False,False
5103403,2408102,23.046848813626433,True,False,False,False,False
5208707,2408102,17.752674559047996,True,False,False,False,False
2507507,2925303,10.219912331062174,True,False,False,False,False
3543402,2507507,19.106185398493103,True,False,False,False,False
2611101,3509502,15.154575326528327,True,False,False,False,False
1100205,2611606,28.961427715003698,True,False,False,False,False
1200401,2611606,32.969960436402545,True,False,False,False,False
1302603,2611606,25.627072946851985,True,False,False,False,False
1400100,2611606,27.98821378613089,True,False,False,False,False
1501402,2611606,15.133673091232675,True,False,False,False,False
2611606,1506807,20.626287087971047,True,False,False,False,False
